,FileName,Center (px) (x-axis),Center (px) (y-axis),Diameter (px) (x-axis),Diameter (px) (y-axis),Diameter (px),Calculated Center X,Calculated Center Y,Calculated  Diameter,Difference Center,Difference Diameter
0,730_012A_1,177,152,9,11,"14,21",185.0,149.0,12.0,"8,544003745","2,212670404"
4,730_012A_2,176,151,7,11,"13,04",192.0,153.0,22.0,"16,1245155","8,96159519"
8,730_012A_4,165,171,7,11,"13,04",174.0,169.0,12.0,"9,219544457","1,03840481"
30,730_037A_1,201,148,9,13,"15,81",202.0,146.0,9.0,"2,236067977","6,811388301"
31,730_037A_1_g,192,182,9,11,"14,21",191.0,180.0,10.0,"2,236067977","4,212670404"
33,730_037A_10_g,187,172,12,10,"15,62",185.0,171.0,12.0,"2,236067977","3,620499352"
35,730_037A_2_g,207,176,12,11,"16,28",205.0,176.0,12.0,2,"4,278820596"
38,730_037A_4,171,161,11,11,"15,56",172.0,159.0,16.0,"2,236067977","0,443650814"
39,730_037A_4_g,195,192,12,10,"15,62",193.0,193.0,10.0,"2,236067977","5,620499352"
41,730_037A_5_g,187,201,10,8,"12,81",187.0,203.0,11.0,2,"1,806248475"
43,730_037A_6_g,190,170,12,11,"16,28",190.0,170.0,13.0,0,"3,278820596"
45,730_037A_7_g,208,185,11,10,"14,87",209.0,186.0,13.0,"1,414213562","1,866068747"
47,730_037A_8_g,192,180,10,9,"13,45",191.0,181.0,13.0,"1,414213562","0,453624047"
49,730_037A_9_g,199,183,11,11,"15,56",198.0,184.0,13.0,"1,414213562","2,556349186"
51,730_037A_cam_g,175,163,10,14,"17,20",173.0,162.0,13.0,"2,236067977","4,204650534"
53,730_037A_lb_g,197,178,11,7,"13,04",196.0,180.0,10.0,"2,236067977","3,03840481"
54,730_037A_lt,214,167,11,9,"14,21",212.0,167.0,11.0,2,"3,212670404"
55,730_037A_lt_g,195,167,3,13,"13,34",193.0,166.0,13.0,"2,236067977","0,341664064"
57,730_037A_rb_g,184,204,9,13,"15,81",183.0,203.0,13.0,"1,414213562","2,811388301"
59,730_037A_rt_g,165,167,13,10,"16,40",165.0,169.0,9.0,2,"7,401219467"
61,730_060A_1_g,183,175,9,11,"14,21",182.0,174.0,11.0,"1,414213562","3,212670404"
63,730_060A_10_g,150,175,16,4,"16,49",150.0,177.0,12.0,2,"4,492422502"
64,730_060A_2,183,157,9,10,"13,45",182.0,157.0,12.0,1,"1,453624047"
68,730_060A_4,183,176,11,10,"14,87",182.0,177.0,14.0,"1,414213562","0,866068747"
69,730_060A_4_g,169,181,11,10,"14,87",169.0,181.0,10.0,0,"4,866068747"
70,730_060A_5,179,178,10,10,"14,14",179.0,176.0,11.0,2,"3,142135624"
71,730_060A_5_g,169,170,10,12,"15,62",167.0,171.0,12.0,"2,236067977","3,620499352"
73,730_060A_6_g,175,175,10,13,"16,40",174.0,176.0,12.0,"1,414213562","4,401219467"
75,730_060A_7_g,182,174,11,10,"14,87",185.0,176.0,12.0,"3,605551275","2,866068747"
77,730_060A_8_g,163,181,11,11,"15,56",163.0,182.0,12.0,1,"3,556349186"
79,730_060A_9_g,187,189,10,10,"14,14",185.0,191.0,10.0,"2,828427125","4,142135624"
80,730_060A_cam,188,157,10,13,"16,40",186.0,154.0,14.0,"3,605551275","2,401219467"
81,730_060A_cam_g,162,164,9,9,"12,73",163.0,163.0,10.0,"1,414213562","2,727922061"
84,730_060A_lt,205,160,11,10,"14,87",201.0,162.0,9.0,"4,472135955","5,866068747"
85,730_060A_lt_g,192,166,10,10,"14,14",192.0,165.0,13.0,1,"1,142135624"
87,730_060A_rb_g,145,184,11,7,"13,04",144.0,183.0,10.0,"1,414213562","3,03840481"
89,730_060A_rt_g,144,159,14,6,"15,23",142.0,161.0,10.0,"2,828427125","5,231546212"
91,730_084A_1_g,187,192,10,8,"12,81",186.0,190.0,12.0,"2,236067977","0,806248475"
93,730_084A_10_g,147,181,14,2,"14,14",146.0,181.0,11.0,1,"3,142135624"
94,730_084A_2,197,169,10,8,"12,81",197.0,168.0,12.0,1,"0,806248475"
95,730_084A_2_g,178,182,12,10,"15,62",181.0,172.0,10.0,"10,44030651","5,620499352"
96,730_084A_3,195,174,8,10,"12,81",196.0,173.0,11.0,"1,414213562","1,806248475"
97,730_084A_3_g,166,167,12,6,"13,42",165.0,168.0,11.0,"1,414213562","2,416407865"
98,730_084A_4,164,161,9,10,"13,45",164.0,163.0,13.0,2,"0,453624047"
99,730_084A_4_g,152,154,9,11,"14,21",150.0,154.0,11.0,2,"3,212670404"
101,730_084A_5_g,156,176,13,9,"15,81",156.0,176.0,14.0,0,"1,811388301"
103,730_084A_6_g,196,184,11,11,"15,56",197.0,183.0,13.0,"1,414213562","2,556349186"
105,730_084A_7_g,176,178,13,10,"16,40",175.0,179.0,14.0,"1,414213562","2,401219467"
107,730_084A_8_g,182,177,3,13,"13,34",181.0,178.0,14.0,"1,414213562","0,658335936"
108,730_084A_9,176,186,7,10,"12,21",174.0,187.0,12.0,"2,236067977","0,206555616"
109,730_084A_9_g,171,192,9,11,"14,21",170.0,192.0,13.0,1,"1,212670404"
110,730_084A_cam,190,157,10,11,"14,87",189.0,156.0,13.0,"1,414213562","1,866068747"
111,730_084A_cam_g,191,161,9,10,"13,45",190.0,161.0,13.0,1,"0,453624047"
113,730_084A_lb_g,191,199,7,10,"12,21",190.0,200.0,10.0,"1,414213562","2,206555616"
115,730_084A_lt_g,178,152,11,7,"13,04",177.0,151.0,12.0,"1,414213562","1,03840481"
117,730_084A_rb_g,171,183,10,8,"12,81",169.0,181.0,11.0,"2,828427125","1,806248475"
118,730_084A_rt,164,163,12,11,"16,28",163.0,162.0,12.0,"1,414213562","4,278820596"
120,730_103A_1,222,171,7,13,"14,76",224.0,170.0,13.0,"2,236067977","1,76482306"
121,730_103A_1_g,149,171,10,12,"15,62",149.0,158.0,13.0,13,"2,620499352"
123,730_103A_10_g,152,186,12,6,"13,42",152.0,189.0,9.0,3,"4,416407865"
124,730_103A_2,187,181,12,7,"13,89",186.0,180.0,13.0,"1,414213562","0,892443989"
125,730_103A_2_g,146,161,15,7,"16,55",145.0,160.0,13.0,"1,414213562","3,552945357"
126,730_103A_3,176,186,8,12,"14,42",175.0,186.0,9.0,1,"5,422205102"
127,730_103A_3_g,151,158,11,9,"14,21",147.0,169.0,13.0,"11,70469991","1,212670404"
128,730_103A_4,161,183,9,11,"14,21",163.0,182.0,15.0,"2,236067977","0,787329596"
129,730_103A_4_g,147,162,9,10,"13,45",146.0,162.0,11.0,1,"2,453624047"
130,730_103A_5,172,186,12,8,"14,42",174.0,187.0,13.0,"2,236067977","1,422205102"
131,730_103A_5_g,149,173,13,9,"15,81",148.0,175.0,10.0,"2,236067977","5,811388301"
133,730_103A_6_g,164,161,12,9,"15,00",162.0,161.0,13.0,2,2
135,730_103A_7_g,173,176,10,12,"15,62",173.0,176.0,14.0,0,"1,620499352"
137,730_103A_8_g,153,172,14,7,"15,65",152.0,174.0,14.0,"2,236067977","1,652475842"
140,730_103A_cam,186,166,9,12,"15,00",185.0,166.0,12.0,1,3
141,730_103A_cam_g,154,165,11,9,"14,21",153.0,165.0,11.0,1,"3,212670404"
145,730_103A_lt_g,158,142,10,10,"14,14",157.0,141.0,12.0,"1,414213562","2,142135624"
146,730_103A_rb,167,176,8,11,"13,60",165.0,175.0,12.0,"2,236067977","1,601470509"
147,730_103A_rb_g,136,166,9,6,"10,82",135.0,166.0,8.0,1,"2,816653826"
148,730_103A_rt,166,165,11,9,"14,21",165.0,163.0,13.0,"2,236067977","1,212670404"
151,850_017A_1,211,206,14,7,"15,65",215.0,205.0,15.0,"4,123105626","0,652475842"
152,850_017A_1_g,221,201,12,1,"12,04",223.0,203.0,9.0,"2,828427125","3,041594579"
155,850_017A_2,208,187,12,10,"15,62",215.0,188.0,18.0,"7,071067812","2,379500648"
157,850_017A_3,203,224,7,15,"16,55",201.0,226.0,13.0,"2,828427125","3,552945357"
160,850_017A_4_g,199,198,14,6,"15,23",198.0,199.0,11.0,"1,414213562","4,231546212"
163,850_017A_6,241,200,8,12,"14,42",246.0,200.0,18.0,5,"3,577794898"
164,850_017A_6_g,219,192,15,9,"17,49",220.0,197.0,13.0,"5,099019514","4,492855685"
165,850_017A_7,247,213,10,10,"14,14",303.0,224.0,8.0,"57,07013229","6,142135624"
166,850_017A_7_g,208,172,14,9,"16,64",211.0,174.0,14.0,"3,605551275","2,643316977"
170,850_017A_9_g,198,190,15,8,"17,00",203.0,190.0,11.0,5,6
171,850_017A_cam,214,183,16,6,"17,09",218.0,184.0,11.0,"4,123105626","6,088007491"
176,850_017A_lt_g,225,162,16,1,"16,03",226.0,162.0,15.0,1,"1,031219542"
178,850_017A_rb_g,178,207,16,1,"16,03",179.0,209.0,11.0,"2,236067977","5,031219542"
179,850_017A_rt,164,200,14,5,"14,87",163.0,199.0,14.0,"1,414213562","0,866068747"
181,940_026A_1,220,171,15,11,"18,60",221.0,172.0,17.0,"1,414213562","1,601075238"
185,940_026A_2,205,194,13,10,"16,40",211.0,197.0,19.0,"6,708203932","2,598780533"
187,940_026A_3,194,176,13,9,"15,81",197.0,177.0,16.0,"3,16227766","0,188611699"
189,940_026A_4,214,194,13,11,"17,03",220.0,198.0,19.0,"7,211102551","1,970613634"
191,940_026A_5,215,193,13,10,"16,40",223.0,197.0,21.0,"8,94427191","4,598780533"
193,940_026A_6,203,196,14,10,"17,20",202.0,201.0,18.0,"5,099019514","0,795349466"
