,0,1
730_012A_1,185,149
730_012A_2,192,153
730_012A_4,174,169
730_037A_1,202,146
730_037A_10_g,185,171
730_037A_1_g,191,180
730_037A_2_g,205,176
730_037A_4,172,159
730_037A_4_g,193,193
730_037A_5_g,187,203
730_037A_6_g,190,170
730_037A_7_g,209,186
730_037A_8_g,191,181
730_037A_9_g,198,184
730_037A_cam_g,173,162
730_037A_lb_g,196,180
730_037A_lt,212,167
730_037A_lt_g,193,166
730_037A_rb_g,183,203
730_037A_rt_g,165,169
730_060A_10_g,150,177
730_060A_1_g,182,174
730_060A_2,182,157
730_060A_4,182,177
730_060A_4_g,169,181
730_060A_5,179,176
730_060A_5_g,167,171
730_060A_6_g,174,176
730_060A_7_g,185,176
730_060A_8_g,163,182
730_060A_9_g,185,191
730_060A_cam,186,154
730_060A_cam_g,163,163
730_060A_lt,201,162
730_060A_lt_g,192,165
730_060A_rb_g,144,183
730_060A_rt_g,142,161
730_084A_10_g,146,181
730_084A_1_g,186,190
730_084A_2,197,168
730_084A_2_g,181,172
730_084A_3,196,173
730_084A_3_g,165,168
730_084A_4,164,163
730_084A_4_g,150,154
730_084A_5_g,156,176
730_084A_6_g,197,183
730_084A_7_g,175,179
730_084A_8_g,181,178
730_084A_9,174,187
730_084A_9_g,170,192
730_084A_cam,189,156
730_084A_cam_g,190,161
730_084A_lb_g,190,200
730_084A_lt_g,177,151
730_084A_rb_g,169,181
730_084A_rt,163,162
730_103A_1,224,170
730_103A_10_g,152,189
730_103A_1_g,149,158
730_103A_2,186,180
730_103A_2_g,145,160
730_103A_3,175,186
730_103A_3_g,147,169
730_103A_4,163,182
730_103A_4_g,146,162
730_103A_5,174,187
730_103A_5_g,148,175
730_103A_6_g,162,161
730_103A_7_g,173,176
730_103A_8_g,152,174
730_103A_cam,185,166
730_103A_cam_g,153,165
730_103A_lt_g,157,141
730_103A_rb,165,175
730_103A_rb_g,135,166
730_103A_rt,165,163
850_017A_1,215,205
850_017A_1_g,223,203
850_017A_2,215,188
850_017A_3,201,226
850_017A_4_g,198,199
850_017A_6,246,200
850_017A_6_g,220,197
850_017A_7,303,224
850_017A_7_g,211,174
850_017A_9_g,203,190
850_017A_cam,218,184
850_017A_lt_g,226,162
850_017A_rb_g,179,209
850_017A_rt,163,199
850_040A_1,214,180
850_040A_10_g,171,166
850_040A_1_g,180,168
850_040A_2,203,186
850_040A_3,188,193
850_040A_4,191,187
850_040A_5,223,203
850_040A_5_g,201,179
850_040A_6_g,195,176
850_040A_7_g,186,187
850_040A_8,211,208
850_040A_8_g,191,186
850_040A_cam,191,166
850_040A_cam_g,182,161
850_040A_lb,224,190
850_040A_lt,222,184
850_040A_lt_g,214,173
850_040A_rb,185,190
850_040A_rb_g,173,188
850_040A_rt,177,173
850_065A_1,238,190
850_065A_1_g,169,158
850_065A_2,211,204
850_065A_2_g,161,157
850_065A_3,204,179
850_065A_3_g,169,165
850_065A_4,181,191
850_065A_4_g,145,178
850_065A_5,216,192
850_065A_5_g,170,181
850_065A_6,232,202
850_065A_8,222,209
850_065A_9,223,212
850_065A_cam,194,192
850_065A_cam_g,154,160
850_065A_lt,234,185
850_065A_lt_g,189,159
850_065A_rb,183,215
850_065A_rb_g,154,177
850_065A_rt,186,186
850_065A_rt_g,162,157
850_078A_1,225,166
850_078A_10_g,175,202
850_078A_1_g,193,180
850_078A_2,216,200
850_078A_3,206,187
850_078A_4,202,200
850_078A_4_g,149,168
850_078A_5,198,200
850_078A_5_g,161,166
850_078A_7,219,212
850_078A_8,233,211
850_078A_9,210,226
850_078A_cam,196,178
850_078A_cam_g,178,170
850_078A_lt,257,179
850_078A_lt_g,186,160
850_078A_rb,187,216
850_078A_rt,179,170
850_104A_1,197,183
850_104A_1_g,184,173
850_104A_2,182,150
850_104A_3,185,165
850_104A_4,186,188
850_104A_4_g,157,167
850_104A_5,191,180
850_104A_5_g,167,177
850_104A_6,198,187
850_104A_7_g,176,166
850_104A_8_g,172,193
850_104A_cam,212,152
850_104A_lt_g,183,176
850_104A_rb,157,178
850_104A_rb_g,141,172
850_104A_rt,183,165
940_026A_1,221,172
940_026A_2,211,197
940_026A_3,197,177
940_026A_4,220,198
940_026A_5,223,197
940_026A_6,202,201
940_026A_7,200,201
940_026A_8,212,198
940_026A_9,199,204
940_026A_cam,202,167
940_026A_lb,206,199
940_026A_lt,222,162
940_026A_rb,199,204
940_026A_rb_g,223,212
940_048A_1,209,170
940_048A_2,202,171
940_048A_3,200,182
940_048A_4,201,177
940_048A_5,190,184
940_048A_6,199,183
940_048A_7,210,186
940_048A_8,182,197
940_048A_cam,196,154
940_048A_cam_g,204,181
940_048A_lt,209,161
940_048A_rt,165,168
940_079A_1,204,157
940_079A_2,188,177
940_079A_3,190,170
940_079A_4,178,190
940_079A_5,197,179
940_079A_6,188,177
940_079A_7,195,169
940_079A_8,202,187
940_079A_cam,181,153
940_079A_lt,189,163
940_079A_rt,174,171
940_102A_1,201,165
940_102A_2,176,170
940_102A_3,195,162
940_102A_4,178,171
940_102A_5,190,191
940_102A_6,182,179
940_102A_7,219,179
940_102A_8,197,182
940_102A_9,217,180
940_102A_lt,212,172
940_102A_rb,175,183
940_102A_rt,151,153
940_150A_1,182,157
940_150A_2,177,171
940_150A_3,187,167
940_150A_4,186,194
940_150A_5,204,194
940_150A_7,220,181
940_150A_8,209,178
940_150A_9,183,184
940_150A_cam,183,166
940_150A_lt,217,149
940_150A_rb,173,189
940_150A_rt,164,170
kh_730_cam2_g,170,152
kh_730_lb2_g,187,205
kh_730_lt2,187,151
kh_730_lt2_g,174,181
kh_850_cam2,153,154
kh_850_lb2,179,185
kh_850_lt2,186,147
kh_850_lt_g,188,167
kh_850_rt2,120,155
kh_850_rt_g,138,154
kh_940_cam,220,204
kh_940_cam2,158,166
kh_940_lb,227,233
kh_940_lt,233,195
kh_940_rt,210,218
kh_940_rt2,162,156
mv_730_cam,137,108
mv_730_cam_g,156,88
mv_730_lb,153,123
mv_730_lb_g,161,122
mv_730_lt,155,112
mv_730_lt_g,143,113
mv_730_rb_g,157,137
mv_730_rt,130,117
mv_730_rt_g,130,113
mv_850_cam,139,112
mv_850_cam_g,157,113
mv_850_lb,150,121
mv_850_lb_g,164,121
mv_850_lt,143,109
mv_850_lt_g,152,104
mv_850_rb,127,104
mv_850_rt,128,119
mv_850_rt_g,137,111
mv_940V_cam,139,128
mv_940V_lb,154,154
mv_940V_lt,161,137
mv_940V_rb,133,141
mv_940V_rt,152,135
