,0
730_012A_1,12
730_012A_2,22
730_012A_4,12
730_037A_1,9
730_037A_10_g,12
730_037A_1_g,10
730_037A_2_g,12
730_037A_4,16
730_037A_4_g,10
730_037A_5_g,11
730_037A_6_g,13
730_037A_7_g,13
730_037A_8_g,13
730_037A_9_g,13
730_037A_cam_g,13
730_037A_lb_g,10
730_037A_lt,11
730_037A_lt_g,13
730_037A_rb_g,13
730_037A_rt_g,9
730_060A_10_g,12
730_060A_1_g,11
730_060A_2,12
730_060A_4,14
730_060A_4_g,10
730_060A_5,11
730_060A_5_g,12
730_060A_6_g,12
730_060A_7_g,12
730_060A_8_g,12
730_060A_9_g,10
730_060A_cam,14
730_060A_cam_g,10
730_060A_lt,9
730_060A_lt_g,13
730_060A_rb_g,10
730_060A_rt_g,10
730_084A_10_g,11
730_084A_1_g,12
730_084A_2,12
730_084A_2_g,10
730_084A_3,11
730_084A_3_g,11
730_084A_4,13
730_084A_4_g,11
730_084A_5_g,14
730_084A_6_g,13
730_084A_7_g,14
730_084A_8_g,14
730_084A_9,12
730_084A_9_g,13
730_084A_cam,13
730_084A_cam_g,13
730_084A_lb_g,10
730_084A_lt_g,12
730_084A_rb_g,11
730_084A_rt,12
730_103A_1,13
730_103A_10_g,9
730_103A_1_g,13
730_103A_2,13
730_103A_2_g,13
730_103A_3,9
730_103A_3_g,13
730_103A_4,15
730_103A_4_g,11
730_103A_5,13
730_103A_5_g,10
730_103A_6_g,13
730_103A_7_g,14
730_103A_8_g,14
730_103A_cam,12
730_103A_cam_g,11
730_103A_lt_g,12
730_103A_rb,12
730_103A_rb_g,8
730_103A_rt,13
850_017A_1,15
850_017A_1_g,9
850_017A_2,18
850_017A_3,13
850_017A_4_g,11
850_017A_6,18
850_017A_6_g,13
850_017A_7,8
850_017A_7_g,14
850_017A_9_g,11
850_017A_cam,11
850_017A_lt_g,15
850_017A_rb_g,11
850_017A_rt,14
850_040A_1,13
850_040A_10_g,12
850_040A_1_g,9
850_040A_2,14
850_040A_3,15
850_040A_4,15
850_040A_5,16
850_040A_5_g,12
850_040A_6_g,14
850_040A_7_g,12
850_040A_8,15
850_040A_8_g,11
850_040A_cam,13
850_040A_cam_g,10
850_040A_lb,10
850_040A_lt,15
850_040A_lt_g,13
850_040A_rb,16
850_040A_rb_g,11
850_040A_rt,15
850_065A_1,14
850_065A_1_g,12
850_065A_2,15
850_065A_2_g,13
850_065A_3,12
850_065A_3_g,14
850_065A_4,15
850_065A_4_g,11
850_065A_5,16
850_065A_5_g,9
850_065A_6,18
850_065A_8,14
850_065A_9,12
850_065A_cam,14
850_065A_cam_g,12
850_065A_lt,15
850_065A_lt_g,13
850_065A_rb,13
850_065A_rb_g,14
850_065A_rt,14
850_065A_rt_g,13
850_078A_1,13
850_078A_10_g,11
850_078A_1_g,10
850_078A_2,14
850_078A_3,15
850_078A_4,13
850_078A_4_g,13
850_078A_5,13
850_078A_5_g,14
850_078A_7,12
850_078A_8,12
850_078A_9,12
850_078A_cam,16
850_078A_cam_g,15
850_078A_lt,20
850_078A_lt_g,11
850_078A_rb,14
850_078A_rt,15
850_104A_1,14
850_104A_1_g,14
850_104A_2,13
850_104A_3,14
850_104A_4,15
850_104A_4_g,15
850_104A_5,15
850_104A_5_g,12
850_104A_6,14
850_104A_7_g,13
850_104A_8_g,8
850_104A_cam,13
850_104A_lt_g,11
850_104A_rb,13
850_104A_rb_g,9
850_104A_rt,13
940_026A_1,17
940_026A_2,19
940_026A_3,16
940_026A_4,19
940_026A_5,21
940_026A_6,18
940_026A_7,20
940_026A_8,20
940_026A_9,20
940_026A_cam,15
940_026A_lb,19
940_026A_lt,21
940_026A_rb,18
940_026A_rb_g,12
940_048A_1,22
940_048A_2,17
940_048A_3,19
940_048A_4,18
940_048A_5,18
940_048A_6,19
940_048A_7,18
940_048A_8,17
940_048A_cam,21
940_048A_cam_g,8
940_048A_lt,20
940_048A_rt,21
940_079A_1,15
940_079A_2,16
940_079A_3,14
940_079A_4,16
940_079A_5,16
940_079A_6,16
940_079A_7,15
940_079A_8,15
940_079A_cam,13
940_079A_lt,14
940_079A_rt,15
940_102A_1,13
940_102A_2,15
940_102A_3,16
940_102A_4,17
940_102A_5,15
940_102A_6,14
940_102A_7,15
940_102A_8,14
940_102A_9,14
940_102A_lt,15
940_102A_rb,17
940_102A_rt,14
940_150A_1,15
940_150A_2,14
940_150A_3,16
940_150A_4,12
940_150A_5,14
940_150A_7,13
940_150A_8,13
940_150A_9,14
940_150A_cam,16
940_150A_lt,12
940_150A_rb,16
940_150A_rt,15
kh_730_cam2_g,11
kh_730_lb2_g,10
kh_730_lt2,14
kh_730_lt2_g,14
kh_850_cam2,12
kh_850_lb2,14
kh_850_lt2,13
kh_850_lt_g,14
kh_850_rt2,11
kh_850_rt_g,13
kh_940_cam,26
kh_940_cam2,19
kh_940_lb,20
kh_940_lt,18
kh_940_rt,23
kh_940_rt2,19
mv_730_cam,9
mv_730_cam_g,8
mv_730_lb,13
mv_730_lb_g,10
mv_730_lt,8
mv_730_lt_g,9
mv_730_rb_g,10
mv_730_rt,8
mv_730_rt_g,11
mv_850_cam,9
mv_850_cam_g,8
mv_850_lb,9
mv_850_lb_g,10
mv_850_lt,10
mv_850_lt_g,10
mv_850_rb,11
mv_850_rt,10
mv_850_rt_g,12
mv_940V_cam,19
mv_940V_lb,14
mv_940V_lt,14
mv_940V_rb,18
mv_940V_rt,19
