,0
SG_730_012A_1,31
SG_730_012A_10,92
SG_730_012A_10_g,13
SG_730_012A_1_g,21
SG_730_012A_2,26
SG_730_012A_2_g,15
SG_730_012A_3,26
SG_730_012A_3_g,23
SG_730_012A_4,26
SG_730_012A_4_g,17
SG_730_012A_5,19
SG_730_012A_5_g,20
SG_730_012A_6,35
SG_730_012A_6_g,25
SG_730_012A_7,111
SG_730_012A_7_g,19
SG_730_012A_8,78
SG_730_012A_8_g,21
SG_730_012A_9,19
SG_730_012A_9_g,26
SG_730_012A_cam,82
SG_730_012A_cam_g,20
SG_730_012A_lb,15
SG_730_012A_lb_g,18
SG_730_012A_lt,28
SG_730_012A_lt_g,24
SG_730_012A_rb,34
SG_730_012A_rb_g,19
SG_730_012A_rt,29
SG_730_012A_rt_g,25
SG_730_037A_1,26
SG_730_037A_10,24
SG_730_037A_10_g,21
SG_730_037A_1_g,26
SG_730_037A_2,24
SG_730_037A_2_g,24
SG_730_037A_3,25
SG_730_037A_3_g,19
SG_730_037A_4,14
SG_730_037A_4_g,22
SG_730_037A_5,25
SG_730_037A_5_g,25
SG_730_037A_6,27
SG_730_037A_6_g,26
SG_730_037A_7,17
SG_730_037A_7_g,22
SG_730_037A_8,58
SG_730_037A_8_g,13
SG_730_037A_9,19
SG_730_037A_9_g,26
SG_730_037A_cam,79
SG_730_037A_cam_g,21
SG_730_037A_lb,22
SG_730_037A_lb_g,19
SG_730_037A_lt,26
SG_730_037A_lt_g,22
SG_730_037A_rb,20
SG_730_037A_rb_g,15
SG_730_037A_rt,25
SG_730_037A_rt_g,13
SG_730_060A_1,14
SG_730_060A_10,25
SG_730_060A_10_g,18
SG_730_060A_1_g,26
SG_730_060A_2,18
SG_730_060A_2_g,15
SG_730_060A_3,18
SG_730_060A_3_g,17
SG_730_060A_4,16
SG_730_060A_4_g,25
SG_730_060A_5,14
SG_730_060A_5_g,23
SG_730_060A_6,18
SG_730_060A_6_g,23
SG_730_060A_7,37
SG_730_060A_7_g,25
SG_730_060A_8,15
SG_730_060A_8_g,14
SG_730_060A_9,51
SG_730_060A_9_g,18
SG_730_060A_cam,16
SG_730_060A_cam_g,26
SG_730_060A_lb,24
SG_730_060A_lt,20
SG_730_060A_lt_g,27
SG_730_060A_rb_g,20
SG_730_060A_rt,15
SG_730_060A_rt_g,14
SG_730_084A_1,23
SG_730_084A_10,14
SG_730_084A_10_g,16
SG_730_084A_1_g,25
SG_730_084A_2,17
SG_730_084A_2_g,16
SG_730_084A_3,16
SG_730_084A_3_g,18
SG_730_084A_4,17
SG_730_084A_4_g,20
SG_730_084A_5,25
SG_730_084A_5_g,19
SG_730_084A_6,13
SG_730_084A_6_g,24
SG_730_084A_7,16
SG_730_084A_7_g,28
SG_730_084A_8,19
SG_730_084A_8_g,13
SG_730_084A_9,13
SG_730_084A_9_g,16
SG_730_084A_cam,16
SG_730_084A_cam_g,16
SG_730_084A_lb_g,16
SG_730_084A_lt,28
SG_730_084A_lt_g,27
SG_730_084A_rb_g,21
SG_730_084A_rt,22
SG_730_084A_rt_g,17
SG_730_103A_1,22
SG_730_103A_10,18
SG_730_103A_10_g,21
SG_730_103A_1_g,21
SG_730_103A_2,13
SG_730_103A_2_g,23
SG_730_103A_3,21
SG_730_103A_3_g,24
SG_730_103A_4,26
SG_730_103A_4_g,29
SG_730_103A_5,21
SG_730_103A_5_g,28
SG_730_103A_6_g,26
SG_730_103A_7,22
SG_730_103A_7_g,26
SG_730_103A_8,18
SG_730_103A_8_g,30
SG_730_103A_9,24
SG_730_103A_9_g,19
SG_730_103A_cam,30
SG_730_103A_cam_g,13
SG_730_103A_lb_g,16
SG_730_103A_lt,26
SG_730_103A_lt_g,30
SG_730_103A_rb_g,18
SG_730_103A_rt,13
SG_730_103A_rt_g,16
SG_850_017A_1,17
SG_850_017A_10_g,30
SG_850_017A_1_g,35
SG_850_017A_2_g,42
SG_850_017A_3_g,40
SG_850_017A_4_g,32
SG_850_017A_5_g,36
SG_850_017A_6_g,30
SG_850_017A_7_g,32
SG_850_017A_8_g,15
SG_850_017A_9_g,33
SG_850_017A_cam,20
SG_850_017A_cam_g,42
SG_850_017A_lb_g,33
SG_850_017A_lt,38
SG_850_017A_lt_g,36
SG_850_017A_rb_g,35
SG_850_017A_rt,25
SG_850_017A_rt_g,39
SG_850_040A_1,30
SG_850_040A_10,26
SG_850_040A_10_g,29
SG_850_040A_1_g,37
SG_850_040A_2,35
SG_850_040A_2_g,38
SG_850_040A_3,34
SG_850_040A_3_g,38
SG_850_040A_4,18
SG_850_040A_4_g,15
SG_850_040A_5,28
SG_850_040A_5_g,31
SG_850_040A_6,28
SG_850_040A_6_g,33
SG_850_040A_7,26
SG_850_040A_7_g,13
SG_850_040A_8_g,20
SG_850_040A_9_g,18
SG_850_040A_cam,59
SG_850_040A_cam_g,35
SG_850_040A_lb_g,39
SG_850_040A_lt,75
SG_850_040A_lt_g,38
SG_850_040A_rb,138
SG_850_040A_rb_g,22
SG_850_040A_rt,65
SG_850_040A_rt_g,36
SG_850_065A_1,24
SG_850_065A_10,14
SG_850_065A_10_g,14
SG_850_065A_1_g,28
SG_850_065A_2,18
SG_850_065A_2_g,28
SG_850_065A_3,20
SG_850_065A_3_g,34
SG_850_065A_4,23
SG_850_065A_4_g,32
SG_850_065A_5,23
SG_850_065A_5_g,29
SG_850_065A_6,29
SG_850_065A_6_g,31
SG_850_065A_7,27
SG_850_065A_7_g,33
SG_850_065A_8,15
SG_850_065A_8_g,28
SG_850_065A_9,14
SG_850_065A_9_g,29
SG_850_065A_cam,55
SG_850_065A_cam_g,31
SG_850_065A_lb_g,29
SG_850_065A_lt,21
SG_850_065A_lt_g,14
SG_850_065A_rb,18
SG_850_065A_rb_g,16
SG_850_065A_rt,49
SG_850_065A_rt_g,35
SG_850_078A_1,33
SG_850_078A_10,33
SG_850_078A_10_g,17
SG_850_078A_1_g,35
SG_850_078A_2,66
SG_850_078A_2_g,34
SG_850_078A_3,66
SG_850_078A_3_g,34
SG_850_078A_4,17
SG_850_078A_4_g,12
SG_850_078A_5,34
SG_850_078A_5_g,16
SG_850_078A_6,16
SG_850_078A_6_g,17
SG_850_078A_7,34
SG_850_078A_7_g,30
SG_850_078A_8,24
SG_850_078A_8_g,19
SG_850_078A_9,27
SG_850_078A_9_g,16
SG_850_078A_cam,62
SG_850_078A_cam_g,35
SG_850_078A_lb,14
SG_850_078A_lb_g,33
SG_850_078A_lt,37
SG_850_078A_lt_g,33
SG_850_078A_rb,24
SG_850_078A_rb_g,45
SG_850_078A_rt,59
SG_850_078A_rt_g,28
SG_850_104A_1,35
SG_850_104A_10,22
SG_850_104A_10_g,42
SG_850_104A_1_g,36
SG_850_104A_2,34
SG_850_104A_2_g,33
SG_850_104A_3,16
SG_850_104A_3_g,14
SG_850_104A_4,16
SG_850_104A_4_g,22
SG_850_104A_5,15
SG_850_104A_5_g,21
SG_850_104A_6,14
SG_850_104A_6_g,12
SG_850_104A_7,13
SG_850_104A_7_g,47
SG_850_104A_8_g,44
SG_850_104A_9,18
SG_850_104A_9_g,41
SG_850_104A_cam,17
SG_850_104A_cam_g,13
SG_850_104A_lb,19
SG_850_104A_lb_g,37
SG_850_104A_lt,37
SG_850_104A_lt_g,37
SG_850_104A_rb,28
SG_850_104A_rb_g,42
SG_850_104A_rt,16
SG_850_104A_rt_g,33
SG_940_026A_1,26
SG_940_026A_10,47
SG_940_026A_1_g,21
SG_940_026A_2,24
SG_940_026A_2_g,20
SG_940_026A_3,66
SG_940_026A_3_g,34
SG_940_026A_4,59
SG_940_026A_4_g,33
SG_940_026A_5,60
SG_940_026A_5_g,36
SG_940_026A_6,28
SG_940_026A_7,28
SG_940_048A_1,40
SG_940_048A_10,30
SG_940_048A_10_g,31
SG_940_048A_1_g,14
SG_940_048A_2,42
SG_940_048A_2_g,14
SG_940_048A_3,42
SG_940_048A_3_g,14
SG_940_048A_4,25
SG_940_048A_4_g,22
SG_940_048A_5,40
SG_940_048A_5_g,15
SG_940_048A_6,25
SG_940_048A_6_g,17
SG_940_048A_7,20
SG_940_048A_7_g,16
SG_940_048A_8,24
SG_940_048A_8_g,19
SG_940_048A_9_g,26
SG_940_048A_cam,32
SG_940_048A_cam_g,29
SG_940_048A_lb,30
SG_940_048A_lb_g,18
SG_940_048A_lt,32
SG_940_048A_lt_g,15
SG_940_048A_rb,14
SG_940_048A_rb_g,19
SG_940_048A_rt,14
SG_940_048A_rt_g,19
SG_940_079A_1,81
SG_940_079A_10,22
SG_940_079A_10_g,18
SG_940_079A_1_g,20
SG_940_079A_2,20
SG_940_079A_2_g,22
SG_940_079A_3,25
SG_940_079A_3_g,16
SG_940_079A_4,79
SG_940_079A_4_g,15
SG_940_079A_5,68
SG_940_079A_5_g,24
SG_940_079A_6,19
SG_940_079A_6_g,24
SG_940_079A_7,26
SG_940_079A_7_g,19
SG_940_079A_8,22
SG_940_079A_8_g,20
SG_940_079A_9_g,18
SG_940_079A_cam,82
SG_940_079A_cam_g,26
SG_940_079A_lb,26
SG_940_079A_lb_g,21
SG_940_079A_lt,14
SG_940_079A_lt_g,27
SG_940_079A_rb,21
SG_940_079A_rb_g,20
SG_940_079A_rt,28
SG_940_079A_rt_g,31
SG_940_102A_1,29
SG_940_102A_10,25
SG_940_102A_10_g,26
SG_940_102A_1_g,14
SG_940_102A_2,27
SG_940_102A_2_g,47
SG_940_102A_3,25
SG_940_102A_3_g,41
SG_940_102A_4,81
SG_940_102A_4_g,20
SG_940_102A_5,17
SG_940_102A_5_g,24
SG_940_102A_6,35
SG_940_102A_6_g,20
SG_940_102A_7,56
SG_940_102A_7_g,27
SG_940_102A_8,29
SG_940_102A_8_g,21
SG_940_102A_9_g,19
SG_940_102A_cam,26
SG_940_102A_cam_g,43
SG_940_102A_lb,28
SG_940_102A_lb_g,27
SG_940_102A_lt,21
SG_940_102A_lt_g,25
SG_940_102A_rb_g,13
SG_940_102A_rt,19
SG_940_102A_rt_g,37
SG_940_150A_1,28
SG_940_150A_10_g,14
SG_940_150A_1_g,23
SG_940_150A_2,83
SG_940_150A_2_g,15
SG_940_150A_3,29
SG_940_150A_3_g,18
SG_940_150A_4,31
SG_940_150A_4_g,27
SG_940_150A_5,28
SG_940_150A_5_g,29
SG_940_150A_6_g,28
SG_940_150A_7_g,17
SG_940_150A_8,34
SG_940_150A_8_g,21
SG_940_150A_9,33
SG_940_150A_9_g,22
SG_940_150A_cam,18
SG_940_150A_cam_g,21
SG_940_150A_lb_g,16
SG_940_150A_lt,33
SG_940_150A_lt_g,28
SG_940_150A_rb_g,13
SG_940_150A_rt,80
SG_940_150A_rt_g,28
