FileName;Center (px) (x-axis);Center (px) (y-axis);Diameter (px) (x-axis);Diameter (px) (y-axis);Diameter (px)
SG_730_012A_1.jpg;200;156;15;10;18,02775638
SG_730_012A_1_g.jpg;214;207;20;5;20,61552813
SG_730_012A_10.jpg;155;185;7;12;13,89244399
SG_730_012A_10_g.jpg;145;211;7;15;16,55294536
SG_730_012A_2.jpg;215;182;17;9;19,23538406
SG_730_012A_2_g.jpg;187;167;13;9;15,8113883
SG_730_012A_3.jpg;166;175;14;10;17,20465053
SG_730_012A_3_g.jpg;201;159;16;9;18,35755975
SG_730_012A_4.jpg;189;179;18;11;21,09502311
SG_730_012A_4_g.jpg;190;182;14;8;16,1245155
SG_730_012A_5.jpg;182;166;17;7;18,38477631
SG_730_012A_5_g.jpg;183;164;12;9;15
SG_730_012A_6.jpg;189;218;14;6;15,23154621
SG_730_012A_6_g.jpg;211;188;11;15;18,60107524
SG_730_012A_7.jpg;185;188;15;8;17
SG_730_012A_7_g.jpg;221;168;14;10;17,20465053
SG_730_012A_8.jpg;218;194;18;9;20,1246118
SG_730_012A_8_g.jpg;238;189;17;9;19,23538406
SG_730_012A_9.jpg;186;193;15;10;18,02775638
SG_730_012A_9_g.jpg;161;211;12;8;14,4222051
SG_730_012A_cam.jpg;165;162;16;8;17,88854382
SG_730_012A_cam_g.jpg;173;184;12;15;19,20937271
SG_730_012A_lb.jpg;224;197;7;12;13,89244399
SG_730_012A_lb_g.jpg;227;190;6;12;13,41640786
SG_730_012A_lt.jpg;190;167;5;10;11,18033989
SG_730_012A_lt_g.jpg;198;169;13;8;15,26433752
SG_730_012A_rb.jpg;177;189;8;12;14,4222051
SG_730_012A_rb_g.jpg;144;204;10;5;11,18033989
SG_730_012A_rt.jpg;155;173;15;8;17
SG_730_012A_rt_g.jpg;170;172;14;8;16,1245155
SG_730_037A_1.jpg;202;170;15;7;16,55294536
SG_730_037A_1_g.jpg;236;161;16;5;16,76305461
SG_730_037A_10.jpg;172;189;14;7;15,65247584
SG_730_037A_10_g.jpg;174;180;13;5;13,92838828
SG_730_037A_2.jpg;211;196;16;7;17,4642492
SG_730_037A_2_g.jpg;194;172;13;10;16,40121947
SG_730_037A_3.jpg;173;169;16;7;17,4642492
SG_730_037A_3_g.jpg;178;159;14;7;15,65247584
SG_730_037A_4.jpg;161;185;16;6;17,08800749
SG_730_037A_4_g.jpg;170;170;16;6;17,08800749
SG_730_037A_5.jpg;168;174;15;4;15,5241747
SG_730_037A_5_g.jpg;196;159;14;9;16,64331698
SG_730_037A_6.jpg;175;188;14;6;15,23154621
SG_730_037A_6_g.jpg;195;165;9;11;14,2126704
SG_730_037A_7.jpg;231;196;14;5;14,86606875
SG_730_037A_7_g.jpg;236;172;13;10;16,40121947
SG_730_037A_8.jpg;213;186;13;5;13,92838828
SG_730_037A_8_g.jpg;197;186;12;6;13,41640786
SG_730_037A_9.jpg;185;209;12;7;13,89244399
SG_730_037A_9_g.jpg;174;170;14;8;16,1245155
SG_730_037A_cam.jpg;156;161;14;9;16,64331698
SG_730_037A_cam_g.jpg;189;162;18;8;19,6977156
SG_730_037A_lb.jpg;177;188;12;8;14,4222051
